epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.59134,0.56737,0.7907,1,0.41278,0.0001667,0.0001667,0.0001667
2,15.004,0.41829,0.7907,1,0.30737,0.000338518,0.000338518,0.000338518
3,22.0005,0.29904,0.93023,1,0.20995,0.000498233,0.000498233,0.000498233
4,29.0404,0.23068,0.95349,1,0.11843,0.000645846,0.000645846,0.000645846
5,35.9861,0.14587,0.95349,1,0.13168,0.000781356,0.000781356,0.000781356
6,42.8956,0.13089,1,1,0.08266,0.000904764,0.000904764,0.000904764
7,50.8881,0.08015,0.95349,1,0.06137,0.00101607,0.00101607,0.00101607
8,59.0254,0.04854,0.95349,1,0.05939,0.00111527,0.00111527,0.00111527
9,67.2622,0.04417,0.97674,1,0.11145,0.00120237,0.00120237,0.00120237
10,74.9545,0.17954,0.95349,1,0.06381,0.0011719,0.0011719,0.0011719
11,82.5316,0.07171,1,1,0.02484,0.00111689,0.00111689,0.00111689
12,90.1025,0.14264,1,1,0.02864,0.00106188,0.00106188,0.00106188
13,97.8575,0.06505,1,1,0.04362,0.00100687,0.00100687,0.00100687
14,105.52,0.04977,0.95349,1,0.0958,0.000951857,0.000951857,0.000951857
15,113.235,0.09824,0.93023,1,0.16885,0.000896846,0.000896846,0.000896846
16,120.897,0.05162,0.95349,1,0.08954,0.000841835,0.000841835,0.000841835
17,128.494,0.02316,0.95349,1,0.0645,0.000786824,0.000786824,0.000786824
18,136.588,0.05824,0.95349,1,0.07727,0.000731813,0.000731813,0.000731813
19,144.468,0.06992,0.95349,1,0.04843,0.000676802,0.000676802,0.000676802
20,152.066,0.04266,0.95349,1,0.14256,0.000621791,0.000621791,0.000621791
21,159.832,0.01705,0.95349,1,0.05884,0.00056678,0.00056678,0.00056678
22,167.495,0.02695,0.95349,1,0.13443,0.000511769,0.000511769,0.000511769
23,175.185,0.0212,0.95349,1,0.15082,0.000456758,0.000456758,0.000456758
24,182.874,0.02262,0.95349,1,0.07541,0.000401747,0.000401747,0.000401747
25,190.735,0.03721,0.95349,1,0.13487,0.000346736,0.000346736,0.000346736
26,198.513,0.02854,0.95349,1,0.06796,0.000291725,0.000291725,0.000291725
27,206.458,0.00913,0.95349,1,0.04658,0.000236714,0.000236714,0.000236714
28,215.18,0.0174,0.95349,1,0.04593,0.000181703,0.000181703,0.000181703
29,223.544,0.05112,0.97674,1,0.03809,0.000126692,0.000126692,0.000126692
30,232.422,0.023,0.97674,1,0.04069,7.1681e-05,7.1681e-05,7.1681e-05
