epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8862,0.85838,2.23154,1.43493,0.00333,1,0.91141,0.65069,0.58633,2.82407,1.25601,0.0002,0.0002,0.0002
2,129.428,0.71657,1.18848,1.29212,1,0.58458,0.94649,0.75438,0.74545,2.64293,1.43353,0.000411684,0.000411684,0.000411684
3,193.073,0.72662,1.04343,1.26592,0.87045,0.92771,0.88825,0.68014,0.85504,2.02409,1.70661,0.000614656,0.000614656,0.000614656
