epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.82562,0,1,1,0,0.0002,0.0002,0.0002
2,17.3227,0,1,1,0,0.00040614,0.00040614,0.00040614
3,26.2504,0,1,1,0,0.00059776,0.00059776,0.00059776
4,35.6427,0,1,1,0,0.00077486,0.00077486,0.00077486
5,45.5772,0,1,1,0,0.00093744,0.00093744,0.00093744
6,54.3512,0,1,1,0,0.0010855,0.0010855,0.0010855
7,62.1669,0,1,1,0,0.00121904,0.00121904,0.00121904
8,70.7489,0,1,1,0,0.00133806,0.00133806,0.00133806
9,79.3202,0,1,1,0,0.00144256,0.00144256,0.00144256
10,87.3402,0,1,1,0,0.001406,0.001406,0.001406
11,95.4304,0,1,1,0,0.00134,0.00134,0.00134
12,103.247,0,1,1,0,0.001274,0.001274,0.001274
13,111.206,0,1,1,0,0.001208,0.001208,0.001208
14,119.069,0,1,1,0,0.001142,0.001142,0.001142
15,126.982,0,1,1,0,0.001076,0.001076,0.001076
16,134.866,0,1,1,0,0.00101,0.00101,0.00101
17,142.962,0,1,1,0,0.000944,0.000944,0.000944
18,150.884,0,1,1,0,0.000878,0.000878,0.000878
19,158.718,0,1,1,0,0.000812,0.000812,0.000812
20,166.497,0,1,1,0,0.000746,0.000746,0.000746
21,176.436,0,1,1,0,0.00068,0.00068,0.00068
22,186.905,0,1,1,0,0.000614,0.000614,0.000614
23,196.302,0,1,1,0,0.000548,0.000548,0.000548
24,204.871,0,1,1,0,0.000482,0.000482,0.000482
25,212.525,0,1,1,0,0.000416,0.000416,0.000416
26,220.302,0,1,1,0,0.00035,0.00035,0.00035
27,228.072,0,1,1,0,0.000284,0.000284,0.000284
28,235.987,0,1,1,0,0.000218,0.000218,0.000218
29,243.815,0,1,1,0,0.000152,0.000152,0.000152
30,251.539,0,1,1,0,8.6e-05,8.6e-05,8.6e-05
